,Biography,Team,Country,Podiums,Points,Points,Grands Prix entered,World Championships,Highest race finish,Highest grid position,Date of birth,Place of birth
0,"‘Still I Rise’ – these are the words emblazoned across the back of Lewis Hamilton’s helmet and tattooed across his shoulders, and ever since annihilating expectations with one of the greatest rookie performances in F1 history in 2007, that’s literally all he’s done: risen to the top of the all-time pole positions list ahead of his hero Ayrton Senna, surged into first place in the wins column surpassing the inimitable Michael Schumacher, and then matched the legendary German’s seven world titles.",Mercedes,United Kingdom,169,3872,3872,270,7,1 (x98),1,07/01/1985,"Stevenage, England"
1,"He’s Max by name, and max by nature. ",Red Bull Racing,Netherlands,46,1242,1242,123,N/A,1 (x11),1,30/09/1997,"Hasselt, Belgium"
2,"Learning his craft on Finnish roads of ice and snow, he was born to be a Grand Prix racer.",Mercedes,Finland,59,1559,1559,161,N/A,1 (x9),1,28/08/1989,"Nastola, Finland"
3,Lando Norris may not be named after Star Wars rebel Lando Calrissian - his Mum just liked the moniker - but he has flair and fighting spirit in bountiful supply.,McLaren,United Kingdom,2,187,187,42,N/A,3 (x2),3,13/11/1999,"Bristol, England"
4,"Born in the Mediterranean idyll of Monaco, Leclerc arrived in F1 on a tidal wave of expectation. ",Ferrari,Monaco,12,441,441,63,N/A,1 (x2),1,16/10/1997,"Monte Carlo, Monaco"
5,He’s the fighter with a gentle touch from the land of the Lucha Libre.,Red Bull Racing,Mexico,10,738,738,197,N/A,1 (x1),2,26/01/1990,"Guadalajara, Mexico"
6,The self-styled “Honey Badger” is fuzzy on the outside and feisty on the inside. Drivers beware because behind Ricciardo’s laidback persona and big grin is a razor-sharp racer with a bite. ,McLaren,Australia,31,1183,1183,192,N/A,1 (x7),1,01/07/1989,"Perth, Australia"
7,He’s the matador from Madrid racing royalty. ,Ferrari,Spain,2,392,392,123,N/A,2 (x1),3,01/09/1994,"Madrid, Spain"
8,"If there’s one word that dominates Esteban Ocon’s career, it’s ‘sacrifice’.",Alpine,France,1,208,208,71,N/A,2 (x1),3,17/09/1996,"Évreux, Normandy"
9,"If there’s one man who knows how big a rollercoaster ride an F1 driver’s career can be, it’s Pierre Gasly!",AlphaTauri,France,2,207,207,68,N/A,1 (x1),4,07/02/1996,"Rouen, France"
10,"There is no such thing as too much too soon for Stroll, a teenage sensation with a wet weather predilection. One of the cool kids on the grid, Stroll was unveiled shortly after his 18th birthday by Williams – before he finished high school and got his road licence. ",Aston Martin,Canada,3,147,147,82,N/A,3 (x3),1,29/10/1998,"Montreal, Canada"
11,"Michael Schumacher was the undisputed king of Formula 1 in the early 2000s, picking up wins and championships at a rate that was simply unheard of at the time. It was going to take someone very special to topple the Ferrari legend from his throne – and that it was Fernando Alonso who did it, tells you all you need to know about the Spaniard.",Alpine,Spain,97,1904,1904,318,2,1 (x32),1,29/07/1981,"Oviedo, Spain"
12,"In the entire history of Formula 1, no Japanese driver has ever won a World Championship Grand Prix. Could Yuki Tsunoda be the first? Red Bull certainly think so, with the youngster very much on the path to their senior team if he continues to impress as he has done over the past few years.",AlphaTauri,Japan,N/A,2,2,4,N/A,9 (x1),13,11/05/2000,"Sagamihara, Japan"
13,He’s the world-famous racing driver who just wants to be left alone. ,Alfa Romeo Racing,Finland,103,1863,1863,336,1,1 (x21),1,17/10/1979,"Espoo, Finland"
14,He’s the Italian steed with speed from the stable of the Prancing Horse. Antonio Giovinazzi flies the flag for Italy as the motorsport mad nation champs at the bit for its next F1 star.,Alfa Romeo Racing,Italy,N/A,18,18,44,N/A,5 (x1),7,14/12/1993,"Martina Franca, Italy"
15,"Born and raised a Bull, then a Prancing Horse, and now the face of Aston Martin’s Formula 1 revival, F1's poster boy of early achievement had won more than all but two drivers in history by the time he was just 26, including back-to-back world titles between 2010 and 2013.",Aston Martin,Germany,121,3018,3018,262,4,1 (x53),1,03/07/1987,"Heppenheim, Germany"
16,"He’s the driver with the motto: “If in doubt, go flat out”.",Williams,United Kingdom,N/A,3,3,42,N/A,9 (x1),2,15/02/1998,"King's Lynn, England"
17,"Plenty of sons of former F1 drivers have joined the sport over the years – two have even emulated their fathers to become world champions – but carrying the Schumacher name is surely an extra level of pressure for Mick, given his father Michael’s extraordinary achievements in Formula 1.",Haas F1 Team,Germany,N/A,0,0,4,N/A,16 (x2),18,22/03/1999,"Vufflens-le-Château, Switzerland"
18,"Thirteen is an advanced age to begin your karting career these days. But that’s how old Toronto native Nicholas Latifi was when he took his first steps in motorsport. Just 11 years later, he became a fully-fledged Formula 1 driver.",Williams,Canada,N/A,0,0,21,N/A,11 (x3),14,29/06/1995,"Montreal, Canada"
19,"Nikita Mazepin might be bringing a healthy chunk of budget with him to the Haas team, but don’t be fooled into thinking he hasn’t also got the driving chops to go with it.",Haas F1 Team,Russian Automobile Federation,N/A,0,0,4,N/A,17 (x1),19,02/03/1999,"Moscow, Russia"
